titulo,precio_num,tipo_codificado,path_imagen
"Piso en Avenida de Pilar Miró, 1",699000,1,
"Dúplex en calle de José Antonio, 22",410900,1,
Casa adosada en Pasaje Fuente Del Cura,255000,2,
Piso en calle de Lucas Mallada,345000,1,
Loft en calle de la Drácena,459000,0,
Piso en calle de Tetuán,699000,1,
Piso en calle de Maqueda,459000,1,
Piso en calle de Noblejas,1500000,1,
Piso en calle del General Ibáñez de Ibero,1195000,1,
Piso en Avenida de los Reyes Católicos,205000,1,
Piso en calle de Santa Engracia,1730000,1,
Apartamento en calle de la Cruz de Flores,190900,1,
Casa adosada en calle de Poseidón,647000,2,
Chalet en Carretera de Valdemanco,409000,2,
Piso en calle de Nuestra Señora del Villar,221000,1,
Piso en calle de Illescas,230000,1,
Piso en Plaza San Francisco de Asis,233500,1,
Piso en calle de Eusebio Morán,255000,1,
Casa rústica en calle calle del Serranillo,975000,2,
"Piso en calle del Planeta Marte, 1",286990,1,
"Piso en calle de Jesús y María, 34",479000,1,
"Piso en Plaza del Egido de la Fuente, 4",400000,1,
"Apartamento en calle de la Paz, 5",175000,1,
"Piso en calle Mayor, 16",3150000,1,
"Piso en calle de Monteleón, 19",930000,1,
"Piso en calle Castelló, 120",1329000,1,
"Piso en calle del Foso, 102",180000,1,
Piso en calle Pío Baroja,285900,1,
Piso en calle de Agastia,1170000,1,
Dúplex en calle del Arroyo Fontarrón,485000,1,
Piso en calle de la Secoya,430000,1,
Casa adosada en calle de la Giralda,419000,2,
Chalet en Campiña,575000,2,
"Ático en calle de Manuel Cortina, 10",1275000,0,
"Estudio en Travesía de Santiago Cordero, 2",165000,0,
Piso en calle de Francisco Medrano,930000,1,
Piso en calle de Cadalso de los Vidrios,519000,1,
Chalet adosado en Avenida de España,1100000,2,
Piso en calle del Divino Vallés,400000,1,
Piso en calle de la Cañada,271000,1,
Piso en calle del Aligustre,350000,1,
Piso en calle de Antonia Domínguez,545000,1,
"Piso en calle del Planeta Júpiter, 1",306990,1,
"Piso en calle de San Dacio, 9",300000,1,
Piso en calle del Panizo,294000,1,
Piso en Avenida de Pablo Neruda,320000,1,
Piso en calle de Caleruega,890000,1,
Piso en Avenida Virgen de Loreto,298000,1,
Dúplex en calle de las Fraguas,429900,1,
Piso en Todas,151000,1,
Piso en calle de la Cruz,549000,1,
Piso en calle de Joaquín María López,1190000,1,
Piso en calle de Arriaza,295000,1,
Piso en calle de Ponferrada,309900,1,
Piso en calle de Sánchez Balderas,370000,1,
Casa unifamiliar en Avenida del Puente de los Viveros,1350000,2,
Chalet en calle de la Hoyuela,279000,2,
Casa unifamiliar en El Olivar de Mirabal,2800000,2,
"Piso en Pryconsa, Juan de Austria",260000,1,
Casa adosada en calle de Paraguay,360000,2,
Piso en Hellín,199000,1,
Piso en Camino del PPO,197000,1,
Piso en Avenida Cataluña,367000,1,
"Dúplex en calle de Jacinto Benavente, 12",518000,1,
Piso en calle de Manuel Cortina,1150000,1,
"Piso en calle de Ferraz, 11",5285000,1,
Piso en calle de Embajadores,635000,1,
Piso en Castillejos,462000,1,
Chalet en Travesía del Convento,374000,2,
Piso en Aluche,299000,1,
Piso en calle de Ponferrada,281000,1,
Chalet en calle Urbanizacion Guadalcampo,359900,2,
Chalet en El Guijo-Colonia España,850000,2,
"Chalet unifamiliar en calle de las Viñas, 1",390000,2,
Piso en Plaza de la Beata María Ana de Jesús,690000,1,
"Piso en calle del General Pardiñas, 8",1459000,1,
Casa en Centro,310000,2,
Piso en calle de la Galera,595000,1,
"Casa en Avenida del Generalísimo, 13",300000,2,
Piso en calle de Cantalejo,1350000,1,
Piso en calle del Primero de Mayo,127500,1,
Piso en calle Ancha,129999,1,
Piso en calle de Hilarión Eslava,1325000,1,
Piso en calle de Sierra Alta,228000,1,
Piso en calle del Parque Vosa,186534,1,
Chalet adosado en calle de Karl Braun,615000,2,
Piso en Avenida de Pablo Neruda,375000,1,
Casa unifamiliar en calle del Carril del Rodeo,495000,2,
Piso en calle de los Hermanos Gómez,459900,1,
Piso en calle de Cullera,247000,1,
Apartamento en calle de Cangas de Onís,342000,1,
Piso en calle de Salamanca,168500,1,
Piso en Pueblo Nuevo,424999,1,
Piso en calle Marchamalo,330000,1,
Piso en calle Pintor Murillo,325000,1,
Piso en calle de Somontín,460000,1,
Casa unifamiliar en calle de la Virgen,250000,2,
Piso en Plaza de Méndez Parada,210000,1,
Chalet en calle de la Picaza,356000,2,
Piso en calle de José Barbastre,349900,1,
Chalet en calle de Jenaro Núñez,430000,2,
Piso en Centro,419000,1,
Piso en calle de la Encina,291900,1,
Chalet en Avenida del Rodeo,1165000,2,
Piso en calle del Puerto de Lumbreras,156000,1,
Chalet pareado en calle de Baiona,699900,2,
Piso en calle de Federico Carlos Sainz de Robles,750000,1,
Casa unifamiliar en El Boalo,595000,2,
Piso en calle de Valdecanillas,240000,1,
Piso en calle del Monte Esquinza,1680000,1,
Piso en calle Segovia,190000,1,
Dúplex en Centrico,265000,1,
Chalet unifamiliar en calle de Garcilaso de la Vega,359500,2,
Piso en Paseo de los Jesuitas,286000,1,
Piso en calle de Jericó,1100000,1,
Piso en calle de Alcántara,549000,1,
Piso en calle del Parque Vosa,188000,1,
Piso en calle de San Vicente,239000,1,
Piso en calle de Tucán,179900,1,
Piso en Quintana,300000,1,
Piso en calle Violeta,233500,1,
Piso en calle de Ercilla,220000,1,
Piso en calle Carpetana,177000,1,
Piso en calle de la Jabonería,200000,1,
Ático en calle de Fuente Cisneros,410000,0,
Casa adosada en calle de Espalmador,925000,2,
Piso en calle de San Andrés,396000,1,
Piso en calle de Andrea Puech,230000,1,
Piso en calle de la Iglesia,151000,1,
Piso en calle de la Infanta Mercedes,620000,1,
Piso en Travesía Prado La Fraila,210000,1,
Piso en calle de Vicente Camarón,250000,1,
Piso en calle de Abel,380000,1,
Piso en calle del Cardenal Silíceo,380000,1,
Piso en calle de la Violetera,310000,1,
Casa adosada en calle del Guadiana,615000,2,
Piso en Avenida del Mediterráneo,315000,1,
Piso en calle de Gloria Fuertes,356800,1,
Piso en calle de Sevilla,148000,1,
Piso en calle de Antonio Díaz Miguel,585000,1,
Piso en calle Capitán Carlos Haya,195000,1,
Piso en calle de Lisboa,349900,1,
Piso en calle de Alonso Cano,980000,1,
Piso en calle de Nuestra Señora del Villar,221000,1,
Piso en calle del Gral. Margallo,779000,1,
Chalet en calle de las Eras,465000,2,
Piso en calle de Torrelaguna,366000,1,
Piso en calle de José María Pereda,339000,1,
Piso en calle de Arturo Soria,900000,1,
Piso en calle de José Barbastre,299900,1,
Piso en calle de la Solana,375000,1,
Piso en Avenida de América,1830000,1,
Piso en Plaza de Verín,315000,1,
Piso en calle de Quero,270000,1,
Piso en calle de Caracas,2895000,1,
Casa adosada en Travesía de G,156000,2,
Ático en calle Arratia,375000,0,
Piso en Plaza de los Reyes Magos,1290000,1,
"Chalet unifamiliar en calle Alcor, 60",1540000,2,
Piso en calle de Bustamante,579000,1,
Casa adosada en calle del Castillo,449900,2,
Piso en calle de Españoleto,185000,1,
Piso en calle de Barberán y Collar,372000,1,
Piso en calle de la Montera,840000,1,
Piso en calle de Ferraz,2495000,1,
Piso en calle de Antonio Maura,4850000,1,
Piso en calle de la Montera,470000,1,
Piso en calle de San Faustino,825000,1,
Piso en calle de la Comunidad de Madrid,590000,1,
Chalet en Ronda del Monte,241000,2,
Dúplex en calle del Pilar,177000,1,
Chalet en calle de Benita Ávila,850000,2,
Piso en calle del Espíritu Santo,410000,1,
"Ático en calle de Almíbar, 131",312100,0,
Dúplex en calle de Víctor González,249000,1,
Loft en calle de Cronos,430000,0,
Chalet pareado en Carretera Colmenar,815000,2,
Piso en Avenida de Francisco Javier Sauquillo,189900,1,
Piso en calle de Miguel de Unamuno,189900,1,
Piso en calle de la Luna,840000,1,
Chalet en calle calle Camino de Hoyarrasa,2890000,2,
Chalet en calle de los Zorzales,576000,2,
Casa en Lozoya,330000,2,
Piso en calle de San Roque,520000,1,
Piso en calle de Magallanes,1150000,1,
Apartamento en Paseo de la Dirección,330000,1,
Piso en calle de Solsona,110000,1,
Piso en Rosa Luxemburgo-Padrerón-Polígono Industrial Norte,410000,1,
Casa adosada en Colina,1420000,2,
Piso en El Bercial,245000,1,
Piso en El Bercial,435000,1,
Piso en Estrella,790000,1,
Piso en Casco Histórico,304000,1,
Piso en Madrid,650000,1,
Chalet en Monte Alina-La Cabaña,3630000,2,
Piso en Niño Jesús,600000,1,
Piso en Collado Villalba,239000,1,
Piso en Pacífico,610000,1,
Piso en Buenavista,285000,1,
Casa adosada en Galapagar,440000,2,
Chalet en Valdecabañas,1750000,2,
Casa pareada en Zona Pueblo,1499000,2,
Piso en Niño Jesús,800000,1,
Piso en Universidad-Malasaña,247000,1,
Piso en Oeste,469000,1,
Piso en Vallehermoso,219900,1,
Piso en Casco Antiguo Sur,192600,1,
Piso en Centro,435000,1,
Piso en Centro,360000,1,
Chalet adosado en Sector III,498000,2,
Piso en Marroquina,450000,1,
Piso en Embajadores-Lavapiés,550000,1,
Piso en San Nicasio,365000,1,
Piso en Imperial,599000,1,
Piso en Chopera,318000,1,
Piso en Justicia,3700000,1,
Dúplex en Majadahonda / Casco Antiguo,430736,1,
Piso en Arapiles,1445000,1,
Piso en San Isidro,395000,1,
Piso en Aluche,320000,1,
Piso en Buenavista,253000,1,
Casa unifamiliar en Las Vegas-El Pozanco-Adelfillas,2280000,2,
Piso en Pilar,290000,1,
Piso en Meco,179000,1,
Piso en Casco Antiguo,199000,1,
Dúplex en Valleaguado-La Cañada,242000,1,
Piso en Villayuventus-Renfe,179999,1,
Piso en Parque Inlasa,165000,1,
Piso en San Nicasio-Campo de Tiro-Solagua,225000,1,
Piso en Puerta Bonita,240000,1,
Piso en Aluche,385000,1,
Piso en Sur-Este,277000,1,
Piso en Hispanoamérica,999999,1,
Piso en Puerta Bonita,220000,1,
Piso en Embajadores-Lavapiés,210000,1,
Casa pareada en Zona Hospital HM Torrelodones,990000,2,
Chalet en Nuevo Baztán,210000,2,
Piso en Vista Alegre,230000,1,
Piso en Pueblo Nuevo,225000,1,
Piso en Embajadores-Lavapiés,210000,1,
Piso en Guadarrama,255000,1,
Piso en Numancia,196000,1,
Piso en Villayuventus-Renfe,115000,1,
Casa unifamiliar en Los Peñascales,699000,2,
Piso en Zarzaquemada,250000,1,
Chalet unifamiliar en Torres de La Alameda,450000,2,
Piso en Palos de Moguer,720000,1,
Piso en San Isidro,238000,1,
Piso en Ciudad 70,268200,1,
Casa pareada en Centro,625000,2,
Piso en Vista Alegre,295000,1,
Piso en Centro,208000,1,
Piso en Centro,335000,1,
Piso en Zona Sureste,229900,1,
Piso en Chorrillo,290000,1,
Piso en Casco Antiguo,395000,1,
Piso en Peñagrande,990000,1,
Piso en Lucero,249000,1,
Piso en Rivas Urbanizaciones,446800,1,
Piso en Guindalera,385000,1,
Piso en Bellas Vistas,310000,1,
Piso en Getafe,210000,1,
Piso en Casco Antiguo,225000,1,
Piso en Montserrat,349900,1,
Piso en Prosperidad,320000,1,
Piso en Ensanche,270000,1,
Piso en Pueblo Nuevo,225000,1,
Piso en Los Villares-Grupo Pinar,304000,1,
Piso en Guadarrama,239000,1,
Piso en Fontenebro-Altavista,230000,1,
Piso en Puerta del Ángel,386000,1,
Piso en San Diego,219000,1,
Piso en Pacífico,750000,1,
Piso en Venecia,283000,1,
Piso en Hispanoamérica,690000,1,
Piso en Marroquina,685000,1,
Piso en Zarzaquemada,237500,1,
Piso en Amposta,184900,1,
Piso en Casco Antiguo,285000,1,
Piso en Camarma de Esteruelas,179900,1,
Piso en Espartales,290000,1,
Piso en Centro,198000,1,
Piso en Villalba Estación,135000,1,
Casa en Parla Este,395000,2,
Piso en Casco Antiguo,290000,1,
Piso en Sur-Este,290000,1,
Piso en San Crispín-La Estación,485000,1,
Piso en Vinateros,465000,1,
Piso en Palos de Moguer,275000,1,
Piso en Brezo-Guardia Civil,329000,1,
Piso en Palomeras Sureste,224999,1,
Piso en Moscardó,169000,1,
Piso en Zona Norte,610000,1,
Dúplex en Zona Norte,725000,1,
Piso en Ventas,278000,1,
Piso en Canillas,489000,1,
Piso en Nuevo Tres Cantos,425000,1,
Piso en Aluche,245000,1,
Piso en Moscardó,220000,1,
